File_Name,Description,Provided_CMMC_Mappings,Suggested_CMMC_Mappings,Current_Sharepoint_Link,New_Sharepoint_Link,TODOs
2025 Building Information and Policy.pdf,Badges are required to gain entrance into garage| main building| turnstiles and office space. Badges are to be visible at all times while on campus. Visitor badges are issued by the Security Guard. Temporary badges do not work on the exterior lobby doors or the garage gates.,,3.10.3,https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?q=2025%20Building%20Information%20and%20Policy&viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FPhysical%20Security%2F2025%20Building%20Information%20and%20Policy%2Epdf&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements&parentview=7,,
2025 Corporate (Houston Offices) EPR Plan.docx,IGNORE THIS EVIDENCE,,,https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?q=2025%20Building%20Information%20and%20Policy&viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FPhysical%20Security%2F2025%20Building%20Information%20and%20Policy%2Epdf&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements&parentview=7,,
Building Security.pdf,Security cameras are monitored. Any employees without a badge are escorted to offices.,,3.10.1;3.10.2;3.10.3,https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?q=Building%20Security%2Epdf&viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FPhysical%20Security%2FBuilding%20Security%2Epdf&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements&parentview=7,,
FAC-ATT-00005 rev 0 _ Visitor Log.docx,First Name| Last Name| Company Name| Visitor Hosts| Check-in Date| Check-out Date | Check-in Time| Checkout Time,,3.10.4,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/_layouts/15/Doc.aspx?sourcedoc=%7BA4C6E5E4-50EA-40B7-BD6A-7529BD04A6E2%7D&file=FAC-ATT-00005%20rev%200%20_%20Visitor%20Log.docx&action=default&mobileredirect=true,,
Physical_Access_Control_Policy.docx,Policies for CUI and AWL office spaces that include destruction of physical CUI copies.,,3.10.1;3.10.2;3.10.3;3.10.4;3.10.5;3.10.6;3.8.1;3.8.2;3.8.3;3.8.5,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/_layouts/15/Doc.aspx?sourcedoc=%7B41E02918-1389-4E48-B7C1-5961BD46B3D6%7D&file=Physical_Access_Control_Policy.docx&action=default&mobileredirect=true&DefaultItemOpen=1,,TODO: RMF
3_8_1 and 3_8_2 Physical Control and Security Evidence.png,Server rooms are controlled with physical access control requirements. IGNORE THIS EVIDENCE,3.8.1;3.8.2,,https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&FolderCTID=0x012000C78ED7C323513D4D8E46A458BE1E6A28&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FPhysical%20Security%2F3%5F8%5F1%20and%203%5F8%5F2%20Physical%20Control%20and%20Security%20Evidence%2Epng&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FPhysical%20Security,,This will be superseded by the Physical Access Control Policy.docx with respect to AWS. TODO: RMF Policies for USB Handling
3_8_5 CUI Transport Evidence.png,IGNORE THIS EVIDENCE,,,https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&FolderCTID=0x012000C78ED7C323513D4D8E46A458BE1E6A28&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FPhysical%20Security%2F3%5F8%5F5%20CUI%20Transport%20Evidence%2Epng&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FPhysical%20Security,,This will be superseded by the Physical Access Control Policy.docx with respect to AWD. TODO: RMF Policies for USB Handling
Physical Security Rubric.docx,FAR 52.205-25 compliant access locks| keys| doors | video| network equipment,,3.10.1;3.10.2;3.10.3;3.10.4;3.10.5;3.10.6;3.8.1;3.8.2;3.8.3;3.8.5,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/_layouts/15/Doc.aspx?sourcedoc=%7B661C7868-A967-4FE7-A722-0431D3B192AF%7D&file=Physical%20Security%20Rubric.docx&action=default&mobileredirect=true,,Confirm scalar
evidence-3.8.3_CUIDestruction.pdf,IGNORE THIS EVIDENCE,,,https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&FolderCTID=0x012000C78ED7C323513D4D8E46A458BE1E6A28&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FEvidence%2DMedia%20Protection%2F3%2E8%2E3%2Fevidence%2D3%2E8%2E3%5FCUIDestruction%2Epdf&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FEvidence%2DMedia%20Protection%2F3%2E8%2E3,,Superseded by Physical_Access_Control_Policy.docx which cites CUI destruction
evidence-3.8.7_AdminAcct1.jpg,IGNORE THIS EVIDENCE,,,https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&FolderCTID=0x012000C78ED7C323513D4D8E46A458BE1E6A28&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FEvidence%2DMedia%20Protection%2F3%2E8%2E7%2Fevidence%2D3%2E8%2E7%5FAdminAcct1%2Ejpg&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FEvidence%2DMedia%20Protection%2F3%2E8%2E7,,Mappings are incorrect. TODO: Confirm Digicert SSL usage internally
evidence-3.8.7_AdminAcct2.png,IGNORE THIS EVIDENCE,,,https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&FolderCTID=0x012000C78ED7C323513D4D8E46A458BE1E6A28&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FEvidence%2DMedia%20Protection%2F3%2E8%2E7%2Fevidence%2D3%2E8%2E7%5FAdminAcct2%2Epng&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FEvidence%2DMedia%20Protection%2F3%2E8%2E7,,Mappings are incorrect. TODO: Confirm Digicert SSL usage internally
3_9_1 Personnel Screening Evidence.png,IGNORE THIS EVIDENCE,,,https://eagle.sharepoint.com/teams/ABSGroupCMMCTaskforce/Shared%20Documents/Forms/AllItems.aspx?viewid=3a8612fa%2D4176%2D4f05%2D8c8d%2Df60f842ad418&FolderCTID=0x012000C78ED7C323513D4D8E46A458BE1E6A28&id=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FBackground%20Checks%2F3%5F9%5F1%20Personnel%20Screening%20Evidence%2Epng&parent=%2Fteams%2FABSGroupCMMCTaskforce%2FShared%20Documents%2FGeneral%2FSP%20800%2D171%20R2%20Requirements%2FOverview%20%2D%20Data%20Call%2FBackground%20Checks,,TODO: HRD-PRO-0011 policy for new employee vetting.
ABSG Cleared Staff Report 10 2025 as of 10-20-2025.xlsx,All staff with required logical and physical access are recorded and tracked. Personnel must have both a clearance and have completed CUI training to be granted access to Eagle-G system.,,3.9.1;3.9.2;3.2.1,https://eagle.sharepoint.com/:x:/r/teams/ABSGroupCMMCTaskforce/_layouts/15/Doc.aspx?sourcedoc=%7B2A25648A-6D67-4B7E-84E6-65A729DFB6DB%7D&file=ABSG%20Cleared%20Staff%20Report%2010%202025%20as%20of%2010-20-2025.xlsx&action=default&mobileredirect=true,,TODO: Find out what system(s) this is exported from
ABS Visitor Badges.doc,IGNORE THIS EVIDENCE,,,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Visitor%20Logbook/ABS%20Visitor%20Badges.doc?d=w49d7610fdf4849358c759e80042f3916&csf=1&web=1&e=aSx4MJ,,
Washington| DC Office Visitor Log 2025.docx,Logging records for visitor access,,3.10.1,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Visitor%20Logbook/Washington|%20DC%20Office%20Visitor%20Log%202025.docx?d=w5818b3e3835b4d8c9204036ac199a57d&csf=1&web=1&e=yiHQr5,,
GEX-PRO-00058| Consultation and Participation| R1 (8).docx,IGNORE THIS EVIDENCE,,,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Visitor%20Logbook/GEX-PRO-00058|%20Consultation%20and%20Participation|%20R1%20%20(8).docx?d=we7f72880b39d4aea9cd66f12beb4da5f&csf=1&web=1&e=9cPBHP,,
ABS and Affiliated Companies Visitor Guide_Print Both sides on Short End.pdf,IGNORE THIS EVIDENCE,,,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Visitor%20Logbook/ABS%20and%20Affiliated%20Companies%20Visitor%20Guide_Print%20Both%20sides%20on%20Short%20End.docx?d=w5877db2c3e334f7a82bf04538bb15e0a&csf=1&web=1&e=pTblNp,,
80 M Street Access and Parking Info - For Visitors_10.1.2025.pdf,IGNORE THIS EVIDENCE,,,https://eagle.sharepoint.com/:b:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Visitor%20Logbook/80%20M%20Street%20Access%20and%20Parking%20Info%20-%20For%20Visitors_10.1.2025.pdf?csf=1&web=1&e=rcUB13,,
ABS Insider Threat Training.png,ABS provides Insider Threat Training via iAchieve training platform. All users are required to complete as a function of annual cybersecurity training,,3.2.3,https://eagle.sharepoint.com/:i:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Security%20Awareness%20Training/ABS%20Insider%20Threat%20Training.png?csf=1&web=1&e=YdvORa,,Do I need to screenshot the whole training from I achieve?
ABS Cybersecurity Awareness Training.png,ABS provides Cybersecurity Awareness Training that includes security-related roles and responsibilities with respect to the protection of sensitive information,,3.2.2,https://eagle.sharepoint.com/:i:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Security%20Awareness%20Training/ABS%20Cybersecurity%20Awareness%20Training.png?csf=1&web=1&e=ssFXyv,,Do I need to screenshot the whole training from I achieve?
Cybertraining 2.png,Employees are introduced to multiple cybersecurity information policies and aligned threat scenarios related to organizational systems,,3.2.1,https://eagle.sharepoint.com/:i:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Security%20Awareness%20Training/Cybertraining%202.png?csf=1&web=1&e=Mhgtva,,Do I need to screenshot the whole training from I achieve?
Cybertraining.png,Security literacy training is provided to recognize and report social engineering and training.,,3.2.2,https://eagle.sharepoint.com/:i:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Security%20Awareness%20Training/Cybertraining.png?csf=1&web=1&e=bsTVVa,,Do I need to screenshot the whole training from I achieve?
3_2_1 3_2_2 and 3_2_3 Training Evidence.png,Proof of Requirement to complete required training to maintain clearances and access to sensitive information | Include insider threat| PII| CUI| cybersecurity| etc. ABSG staff with clearances are required to complete these external trainings yearly.,3.2.2. 3.2.3,3.2.3;3.2.1,https://eagle.sharepoint.com/:i:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Training/3_2_1%203_2_2%20and%203_2_3%20Training%20Evidence.png?csf=1&web=1&e=SZgiGu,,Want access to the certificates?
CUI training.docx,Employees are required to take CUI training to access Eagle G systems in I achieve . This CUI training Defines CUI| guidance for using CUI systems at ABS| responsibilities for access and usage of CUI specific to ABS polices.,,3.2.2,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/Training/CUI%20training.docx?d=wa972e34c482644f9af970abd356e11db&csf=1&web=1&e=5Oy4rA,,
Cyber training log.xlsx,Proof of completed CUI training in ABS system I achieve| including CUI training| Cyber security| insider threat| data governance| etc.,,3.2.1,https://eagle.sharepoint.com/:x:/r/teams/ABSGroupCMMCTaskforce/_layouts/15/Doc.aspx?sourcedoc=%7B1B0C368E-CBE8-4DD4-89EB-D82B57C45C2B%7D&file=Cyber%20training%20log.xlsx&action=default&mobileredirect=true,,
IMS-ATT-00151 REV 0 (1).docx,Policy in ETQ which details requirement for minimum annual trainings| including Cybersecurity| Insider Treat| and Role Based Security and Privacy Training.,,3.2.1,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/ETQ%20Data%20Pull/IMS-ATT-00151%20Rev%200%20(1).docx?d=w480e0e8e0d86478692f2fc72485e4e62&csf=1&web=1&e=hUv8Jh,,"Note this policy says we do role based training - confirmed with Roshini, we do not do this"
IMS-PRO-00109 Rev 1| Security of Controlled Unclassified Information (CUI).docx,Policy that states an additional training requirement for all person working with CUI will be required to take CUI training annually.,,3.2.1,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/ETQ%20Data%20Pull/IMS-PRO-00109%20Rev%201|%20Security%20of%20Controlled%20Unclassified%20Information%20(CUI).docx?d=w34ce2ea239334272b3f2346a5bd6aebe&csf=1&web=1&e=SL37TD,,Note table says they take  CUI data handling part 1 and 2. These aren't the trainings in I achieve. I believe it needs to be updated to Controlled Unclassified Information Curriculum
IMS-PRO-00103 Rev 4 (3).doc,CISR describes how ABS responds to a cyber related incident| including data incidents  subject to the U.S. International Traffic in Arms Regulations (ITAR)| the Export Administration Regulations (EAR) and Controlled Unclassified Information (CUI). Describes incident response phases| roles and responsibilities| and procedures.,,3.6.1; 3.6.2,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/_layouts/15/Doc.aspx?sourcedoc=%7BABA67F2B-68A5-44E9-8BC3-2CE668E71557%7D&file=IMS-PRO-00103%20Rev%204%20(3).docx&action=default&mobileredirect=true,,Very similar to below plan
IMS-PRO-00002 Rev 4| Cybersecurity Technical Response.docx,Overall policy to cybersecurity Incident. Details if incident occurs| they should follow procedures set forth in attachment below,,3.6.1; 3.6.2,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/ETQ%20Data%20Pull/IMS-PRO-00002|%20Cybersecurity%20Incident%20Technical%20Response/IMS-PRO-00002%20Rev%204|%20Cybersecurity%20Incident%20Technical%20Response.docx?d=w4d6f4f5a6c8e4dfe90b96e71075ff609&csf=1&web=1&e=anXnyR,,"Very similar to above plan Below is attachment to this, that goes into much more detail, similar to above plan/ These three items need to be consolidated"
IMS-ATT-00009 Rev 4| Cybersecurity Incident Technical Response Plan.docx,CSITR Plan details ABS response to and adverse event to information systems. Describes incident response phases| roles and responsibilities| and procedures,,3.6.1; 3.6.2,https://eagle.sharepoint.com/:w:/r/teams/ABSGroupCMMCTaskforce/Shared%20Documents/General/SP%20800-171%20R2%20Requirements/Overview%20-%20Data%20Call/ETQ%20Data%20Pull/IMS-PRO-00002|%20Cybersecurity%20Incident%20Technical%20Response/IMS-ATT-00009%20Rev%2004|%20Cybersecurity%20Incident%20Technical%20Response%20Plan.docx?d=w4d7e88a9085b43f1acbf370292855b91&csf=1&web=1&e=tbph4b,,Very similar to CISR. Needs to be consolidated
